start_base,end_base,runs_scored,outs,start_outs,end_outs,start_state,end_state,re_before,re_after,value,norm_value
"(1, 1, 1)","(0, 0, 0)",1,3,0,3,111_0,000_3,2.3188014033473285,0.0,-1.3188014033473285,-0.5567082076076264
"(0, 0, 0)","(0, 0, 0)",0,1,1,2,000_1,000_2,0.27356140384652405,0.10514160279015194,-0.1684198010563721,-1.0
"(0, 0, 0)","(0, 1, 0)",0,0,1,1,000_1,010_1,0.27356140384652405,0.6970606098301637,0.42349920598363966,0.013195782038024184
"(0, 0, 0)","(0, 0, 0)",1,0,1,1,000_1,000_1,0.27356140384652405,0.27356140384652405,1.0,1.0
"(0, 0, 0)","(1, 0, 0)",0,0,1,1,000_1,100_1,0.27356140384652405,0.5365059395025369,0.26294453565601283,-0.26162782191402933
"(0, 0, 0)","(0, 0, 1)",0,0,1,1,000_1,001_1,0.27356140384652405,0.9719785520382295,0.6984171481917054,0.4837765475462972
"(0, 0, 1)","(0, 0, 1)",0,1,1,2,001_1,001_2,0.9719785520382295,0.3720836162436255,-0.599894935794604,-0.6726865475336483
"(0, 0, 1)","(1, 0, 0)",1,0,1,1,001_1,100_1,0.9719785520382295,0.5365059395025369,0.5645273874643074,0.35162915494870717
"(0, 0, 1)","(0, 0, 0)",2,0,1,1,001_1,000_1,0.9719785520382295,0.27356140384652405,1.3015828518082946,1.0
"(0, 0, 1)","(0, 0, 0)",1,1,1,2,001_1,000_2,0.9719785520382295,0.10514160279015194,0.13316305075192247,-0.027832192330131567
"(0, 0, 1)","(0, 0, 1)",1,0,1,1,001_1,001_1,0.9719785520382295,0.9719785520382295,1.0,0.7347044585661404
"(0, 0, 1)","(0, 1, 0)",1,0,1,1,001_1,010_1,0.9719785520382295,0.6970606098301637,0.7250820577919342,0.49286542862576055
"(0, 0, 1)","(1, 0, 1)",0,0,1,1,001_1,101_1,0.9719785520382295,1.1892578655390464,0.21727931350081697,0.046162961358334975
"(0, 0, 1)","(0, 0, 0)",0,2,1,3,001_1,000_3,0.9719785520382295,0.0,-0.9719785520382295,-1.0
"(0, 0, 1)","(1, 0, 0)",0,1,1,2,001_1,100_2,0.9719785520382295,0.23259963183813465,-0.7393789202000949,-0.7953874204192497
"(0, 0, 1)","(0, 1, 0)",0,1,1,2,001_1,010_2,0.9719785520382295,0.33039304411579395,-0.6415855079224355,-0.7093607909099631
"(0, 0, 1)","(0, 1, 1)",0,0,1,1,001_1,011_1,0.9719785520382295,1.4130642866382097,0.44108573459998024,0.24304035443909044
"(0, 1, 0)","(0, 0, 0)",2,0,1,1,010_1,000_1,0.6970606098301637,0.27356140384652405,1.5765007940163605,1.0
"(0, 1, 0)","(0, 1, 0)",0,1,1,2,010_1,010_2,0.6970606098301637,0.33039304411579395,-0.36666756571436976,-0.7093607909099631
"(0, 1, 0)","(1, 1, 0)",0,0,1,1,010_1,110_1,0.6970606098301637,0.9310801971130783,0.2340195872829146,-0.18095003236962892
"(0, 1, 0)","(0, 0, 1)",0,1,1,2,010_1,001_2,0.6970606098301637,0.3720836162436255,-0.3249769935865382,-0.6726865475336483
"(0, 1, 0)","(1, 0, 0)",1,0,1,1,010_1,100_1,0.6970606098301637,0.5365059395025369,0.8394453296723732,0.35162915494870717
"(0, 1, 0)","(1, 0, 1)",0,0,1,1,010_1,101_1,0.6970606098301637,1.1892578655390464,0.49219725570888273,0.046162961358334975
"(0, 1, 0)","(0, 1, 0)",1,0,1,1,010_1,010_1,0.6970606098301637,0.6970606098301637,1.0,0.49286542862576055
"(0, 1, 0)","(0, 0, 1)",1,0,1,1,010_1,001_1,0.6970606098301637,0.9719785520382295,1.2749179422080656,0.7347044585661404
