start_base,end_base,runs_scored,outs,start_outs,end_outs,start_state,end_state,re_before,re_after,value,norm_value
"(0, 0, 0)","(0, 0, 0)",0,0,2,2,000_2,000_2,0.10514160279015194,0.10514160279015194,0.0,
"(0, 0, 1)","(0, 0, 0)",1,0,2,2,001_2,000_2,0.3720836162436255,0.10514160279015194,0.7330579865465264,1.0
"(0, 0, 1)","(0, 0, 0)",0,1,2,3,001_2,000_3,0.3720836162436255,0.0,-0.3720836162436255,-1.0
"(0, 0, 1)","(0, 0, 1)",0,0,2,2,001_2,001_2,0.3720836162436255,0.3720836162436255,0.0,-0.3266317812953097
"(0, 1, 0)","(0, 0, 0)",0,1,2,3,010_2,000_3,0.33039304411579395,0.0,-0.33039304411579395,-1.0
"(0, 1, 0)","(0, 0, 1)",0,0,2,2,010_2,001_2,0.33039304411579395,0.3720836162436255,0.04169057212783156,-0.3266317812953097
"(0, 1, 0)","(0, 0, 0)",1,0,2,2,010_2,000_2,0.33039304411579395,0.10514160279015194,0.774748558674358,1.0
"(0, 1, 0)","(0, 1, 0)",0,0,2,2,010_2,010_2,0.33039304411579395,0.33039304411579395,0.0,-0.4020801618875801
"(0, 1, 1)","(0, 0, 1)",1,0,2,2,011_2,001_2,0.5857316399779128,0.3720836162436255,0.7863519762657127,0.303554700952247
"(0, 1, 1)","(0, 0, 0)",2,0,2,2,011_2,000_2,0.5857316399779128,0.10514160279015194,1.5194099628122393,1.0
"(0, 1, 1)","(0, 1, 0)",0,1,2,3,011_2,010_3,0.5857316399779128,0.0,-0.5857316399779128,-1.0
"(0, 1, 1)","(0, 0, 1)",0,1,2,3,011_2,001_3,0.5857316399779128,0.0,-0.5857316399779128,-1.0
"(0, 1, 1)","(0, 1, 0)",1,0,2,2,011_2,010_2,0.5857316399779128,0.33039304411579395,0.7446614041378812,0.2639463704983007
"(0, 1, 1)","(0, 0, 0)",1,1,2,3,011_2,000_3,0.5857316399779128,0.0,0.4142683600220872,-0.049945145091806475
"(0, 1, 1)","(0, 1, 1)",0,0,2,2,011_2,011_2,0.5857316399779128,0.5857316399779128,0.0,-0.4435228117656458
"(1, 0, 0)","(0, 1, 0)",0,0,2,2,100_2,010_2,0.23259963183813465,0.33039304411579395,0.09779341227765931,-0.4020801618875801
"(1, 0, 0)","(0, 0, 0)",0,1,2,3,100_2,000_3,0.23259963183813465,0.0,-0.23259963183813465,-1.0
"(1, 0, 0)","(0, 0, 1)",0,0,2,2,100_2,001_2,0.23259963183813465,0.3720836162436255,0.13948398440549087,-0.3266317812953097
"(1, 0, 0)","(0, 0, 0)",1,0,2,2,100_2,000_2,0.23259963183813465,0.10514160279015194,0.8725419709520172,1.0
"(1, 0, 0)","(1, 0, 0)",0,0,2,2,100_2,100_2,0.23259963183813465,0.23259963183813465,0.0,-0.5790591336876828
"(1, 0, 1)","(0, 1, 1)",0,0,2,2,101_2,011_2,0.5078118268761308,0.5857316399779128,0.07791981310178198,-0.4435228117656458
"(1, 0, 1)","(0, 1, 0)",1,0,2,2,101_2,010_2,0.5078118268761308,0.33039304411579395,0.8225812172396632,0.2639463704983007
